condominio,quartos,suites,vagas,area,bairro,preco,pm2
350,1,0.0,1.0,21,Campo Belo,340000,16190.48
800,1,0.0,1.0,64,Campo Belo,770000,12031.25
674,1,0.0,1.0,61,Campo Belo,600000,9836.07
700,1,1.0,1.0,70,Campo Belo,700000,10000.0
440,1,0.0,1.0,44,Campo Belo,515000,11704.55
917,1,1.0,1.0,60,Campo Belo,630000,10500.0
850,1,1.0,1.0,65,Campo Belo,740000,11384.62
350,1,1.0,1.0,43,Campo Belo,570000,13255.81
440,1,1.0,1.0,26,Campo Belo,430000,16538.46
510,1,1.0,1.0,42,Campo Belo,500000,11904.76
200,1,0.0,1.0,35,Campo Belo,500000,14285.71
552,1,1.0,1.0,67,Campo Belo,790000,11791.04
495,1,1.0,1.0,54,Campo Belo,515000,9537.04
340,1,1.0,1.0,40,Campo Belo,410000,10250.0
800,1,1.0,1.0,60,Campo Belo,625000,10416.67
530,1,0.0,1.0,40,Campo Belo,360000,9000.0
500,1,0.0,1.0,47,Campo Belo,670000,14255.32
600,1,1.0,1.0,45,Campo Belo,500000,11111.11
465,1,0.0,1.0,50,Campo Belo,570000,11400.0
1400,1,1.0,1.0,50,Campo Belo,570000,11400.0
700,1,1.0,1.0,58,Campo Belo,630000,10862.07
250,1,0.0,1.0,40,Campo Belo,400000,10000.0
1000,1,1.0,1.0,54,Campo Belo,750000,13888.89
280,1,0.0,1.0,65,Campo Belo,578000,8892.31
481,1,1.0,1.0,28,Campo Belo,350000,12500.0
150,1,0.0,1.0,40,Campo Belo,130000,3250.0
1071,1,1.0,1.0,44,Campo Belo,597000,13568.18
750,2,1.0,1.0,70,Campo Belo,995000,14214.29
992,2,1.0,1.0,105,Campo Belo,1150000,10952.38
990,2,1.0,1.0,100,Campo Belo,1200000,12000.0
960,2,1.0,1.0,80,Campo Belo,980000,12250.0
1200,2,1.0,2.0,68,Campo Belo,950000,13970.59
1100,2,2.0,2.0,80,Campo Belo,1080000,13500.0
1170,2,1.0,1.0,80,Campo Belo,815000,10187.5
1100,2,1.0,1.0,72,Campo Belo,930000,12916.6
519,2,1.0,1.0,58,Campo Belo,750000,12931.03
750,2,1.0,1.0,86,Campo Belo,720000,8372.09
905,2,1.0,1.0,85,Campo Belo,1100000,12941.18
600,2,1.0,1.0,70,Campo Belo,720000,10285.71
760,2,1.0,1.0,76,Campo Belo,890000,11710.53
700,2,1.0,1.0,75,Campo Belo,770000,10266.67
860,2,2.0,1.0,76,Campo Belo,1050000,13815.79
990,2,1.0,2.0,66,Campo Belo,920000,13939.39
520,2,1.0,1.0,75,Campo Belo,519000,6920.0
860,2,1.0,1.0,76,Campo Belo,980000,12894.74
790,2,1.0,1.0,69,Campo Belo,950000,13768.12
1000,2,1.0,1.0,88,Campo Belo,995000,11306.82
750,2,1.0,1.0,90,Campo Belo,1250000,13888.89
550,2,1.0,1.0,62,Campo Belo,675000,10887.1
1100,2,1.0,2.0,84,Campo Belo,940000,11190.48
745,2,1.0,1.0,82,Campo Belo,879000,10719.51
1400,2,1.0,1.0,75,Campo Belo,1300000,17333.33
970,2,1.0,1.0,75,Campo Belo,980000,13066.67
1800,2,1.0,1.0,90,Campo Belo,1130000,12555.56
968,2,1.0,1.0,80,Campo Belo,799000,9987.5
900,2,1.0,1.0,90,Campo Belo,980000,10888.89
830,2,1.0,1.0,93,Campo Belo,1150000,12365.59
665,2,1.0,1.0,68,Campo Belo,885000,13014.71
450,2,1.0,1.0,117,Campo Belo,800000,6837.61
720,2,1.0,1.0,85,Campo Belo,705000,8294.12
450,2,1.0,1.0,75,Campo Belo,810000,10800.0
960,2,1.0,1.0,87,Campo Belo,950000,10919.54
450,2,1.0,1.0,68,Campo Belo,450000,6617.65
1942,3,1.0,2.0,129,Campo Belo,1659000,12860.47
1200,3,1.0,1.0,120,Campo Belo,1100000,9166.67
890,3,1.0,2.0,109,Campo Belo,950000,8715.6
1400,3,1.0,1.0,94,Campo Belo,950000,10106.38
1580,3,1.0,1.0,215,Campo Belo,1890000,8790.7
1670,3,1.0,2.0,114,Campo Belo,1900000,16666.67
1500,3,1.0,2.0,114,Campo Belo,1600000,14035.09
1335,3,1.0,1.0,130,Campo Belo,1300000,10000.0
700,3,1.0,1.0,89,Campo Belo,850000,9550.56
1350,3,1.0,2.0,135,Campo Belo,1625000,12037.04
1000,3,1.0,1.0,83,Campo Belo,900000,10843.37
1700,3,1.0,1.0,113,Campo Belo,1400000,12389.38
980,3,1.0,1.0,100,Campo Belo,950000,9500.0
700,3,1.0,1.0,96,Campo Belo,1200000,12500.0
1350,3,1.0,2.0,104,Campo Belo,1750000,16826.92
1000,3,1.0,1.0,99,Campo Belo,1340000,13535.35
1206,3,1.0,2.0,104,Campo Belo,1650000,15865.38
1206,3,1.0,2.0,107,Campo Belo,1750000,16355.14
750,3,1.0,1.0,115,Campo Belo,1100000,9565.22
1400,3,1.0,2.0,103,Campo Belo,1700000,16504.85
1000,3,1.0,1.0,83,Campo Belo,900000,10843.37
500,3,1.0,1.0,103,Campo Belo,990000,9611.65
1260,3,1.0,2.0,115,Campo Belo,1650000,14347.83
