cd_produto,qtde,nota,preco_liq,preco_ipi,preco_icms,p_ipi,p_icm,nm_produto,cd_cliente,nm_cliente,cidade,uf,cd_vendedor,nm_vendedor,cd_familia,nm_familia,cd_grupo,nm_grupo,cd_marca,nm_marca,data_pedido,data_nota,cd_operacao,nm_operacao,cd_sub_grupo,nm_sub_grupo,cd_linha,nm_linha,valor,lucro
1748,1,1,839.04,914.55,1079.17,9,18,ATE 50 LITROS PRADARIA Serie 78,149.0,ROTTO BRASIL IND. E COM. DE PLASTICOS LTDA,GUARAREMA,SP,6,VIVALDO,6,LINHA BRANCA,32,FOGAO,1,Brastenta,2010-04-01,2010-04-07,5.102,VENDAS,188,ATE 50 LITROS,1,ELETRODOMESTICOS,839.04,41.952
1749,4,1,839.52,915.08,1079.79,9,18,MUITA LEMBRANCA IMPERION Serie 78,149.0,ROTTO BRASIL IND. E COM. DE PLASTICOS LTDA,GUARAREMA,SP,6,VIVALDO,7,MICRO-COMPUTADOR,33,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-01,2010-04-08,5.102,VENDAS,189,MUITA LEMBRANCA,3,TI,3358.08,92.2944
1748,1,2,839.04,914.55,1079.17,9,18,ATE 50 LITROS PRADARIA Serie 78,145.0,ART METAL INDUSTRIA E COMERCIO LTDA,SANTO ANDRE,SP,6,VIVALDO,6,LINHA BRANCA,32,FOGAO,1,Brastenta,2010-04-01,2010-04-07,5.102,VENDAS,188,ATE 50 LITROS,1,ELETRODOMESTICOS,839.04,41.952
1749,4,2,839.52,915.08,1079.79,9,18,MUITA LEMBRANCA IMPERION Serie 78,145.0,ART METAL INDUSTRIA E COMERCIO LTDA,SANTO ANDRE,SP,6,VIVALDO,7,MICRO-COMPUTADOR,33,SEM SISTEMA OPERACIONAL,2,Compaqto,2010-04-01,2010-04-08,5.102,VENDAS,189,MUITA LEMBRANCA,3,TI,3358.08,92.2944
4965,2,3,2383.2,2550.02,3009.03,7,18,BONZINHO PRADA Serie 99,141.0,INDUSTRIA DE MAQUINAS PROFAMA LTDA,MAIRIPORA,SP,6,VIVALDO,12,INTEGRADOS,12,3 EM 1,3,CCL,2010-04-05,2010-04-17,5.102,VENDAS,90,BONZINHO,4,SOM & IMAGEM,4766.4,428.97599999999994
3961,1,4,1901.28,2034.37,2400.56,7,18,MEDIA LEMBRANCA SISNE Serie 99,32.0,METALURGICA RIGOR LTDA,INDAIATUBA,SP,4,DAYSE,9,NETBOOK,22,XING-LING,2,Compaqto,2010-04-05,2010-04-14,5.102,VENDAS,61,MEDIA LEMBRANCA,3,TI,1901.28,524.304
4459,1,4,2140.32,2332.95,2752.88,9,18,COM RELOGIO CLARION Serie 49,32.0,METALURGICA RIGOR LTDA,INDAIATUBA,SP,4,DAYSE,13,RADIOS,13,RADIO RELOGIO,2,Compaqto,2010-04-05,2010-04-18,5.102,VENDAS,169,COM RELOGIO,4,SOM & IMAGEM,2140.32,192.6288
4960,2,4,2380.8,2547.46,3006.0,7,18,ALGUMA LEMBRANCA HP Serie 99,32.0,METALURGICA RIGOR LTDA,INDAIATUBA,SP,4,DAYSE,7,MICRO-COMPUTADOR,7,COM LINUX,2,Compaqto,2010-04-05,2010-04-12,5.102,VENDAS,85,ALGUMA LEMBRANCA,3,TI,4761.6,235.4352
1390,1,4,667.2,667.2,787.3,0,18,UM POUCO DE TUDO PLUGS Serie 42,32.0,METALURGICA RIGOR LTDA,INDAIATUBA,SP,4,DAYSE,12,INTEGRADOS,25,SOM ESPECIAL,3,CCL,2010-04-05,2010-04-17,5.102,VENDAS,25,UM POUCO DE TUDO,4,SOM & IMAGEM,667.2,67.85423999999999
4461,1,4,2141.28,2334.0,2754.11,9,18,+TOUCH+TV PING LING Serie 49,32.0,METALURGICA RIGOR LTDA,INDAIATUBA,SP,4,DAYSE,2,SMARTFONE,15,APPLE,5,No Tinha,2010-04-05,2010-04-07,5.102,VENDAS,171,+TOUCH+TV,2,TELEFONIA,2141.28,64.2384
890,1,4,1127.2,1183.56,1396.6,5,18,ATE 50 LITROS PRADARIA Serie 92,32.0,METALURGICA RIGOR LTDA,INDAIATUBA,SP,4,DAYSE,6,LINHA BRANCA,32,FOGAO,22,Daqo,2010-04-05,2010-04-11,5.102,VENDAS,110,ATE 50 LITROS,1,ELETRODOMESTICOS,1127.2,60.30520000000001
1247,1,5,598.56,640.46,755.74,7,18,BONZINHO BUSHA DE CANHAO Serie 27,6.0,ESCOMAG IND. COM. E POLIMENTOS DE METAIS LTDA,SAO BERNARDO DO CAMP,SP,1,BEATRIZ,12,INTEGRADOS,38,COM TV,3,CCL,2010-04-06,2010-04-18,5.901,BENEFICIAMENTO,77,BONZINHO,4,SOM & IMAGEM,598.56,53.8704
2817,4,6,1352.16,1446.81,1707.24,7,18,MEDIA LEMBRANCA MICROLIXO Serie 84,4.0,ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA.,BOITUVA,SP,2,DIONISIO,9,NETBOOK,9,BARATO,2,Compaqto,2010-04-06,2010-04-15,5.102,VENDAS,87,MEDIA LEMBRANCA,3,TI,5408.64,65.8416
2818,4,7,1352.64,1447.32,1621.0,7,12,ALGUMA LEMBRANCA ITAUTEC Serie 85,226.0,SANTA FE PRESENTES LTDA,FORMIGA,MG,6,VIVALDO,10,IPAD,10,BARATO,2,Compaqto,2010-04-06,2010-04-16,6.102,VD P/ OUTRO ESTADO,88,ALGUMA LEMBRANCA,3,TI,5410.56,594.9504000000001
2817,1,8,1352.16,1446.81,1707.24,7,18,MEDIA LEMBRANCA MICROLIXO Serie 84,117.0,INDUSTRIA DE REFRIGERACAO OMEGA LTDA,SAO PAULO,SP,6,VIVALDO,9,NETBOOK,9,BARATO,2,Compaqto,2010-04-06,2010-04-15,5.102,VENDAS,87,MEDIA LEMBRANCA,3,TI,1352.16,595.1616
1748,1,9,839.04,914.55,1024.3,9,12,ATE 50 LITROS PRADARIA Serie 78,139.0,INDUSTRIA DE CARROCERIAS METALICAS LONDRINA,IBIPORA,PR,6,VIVALDO,6,LINHA BRANCA,32,FOGAO,1,Brastenta,2010-04-07,2010-04-13,6.102,VD P/ OUTRO ESTADO,188,ATE 50 LITROS,1,ELETRODOMESTICOS,839.04,41.952
750,1,9,1060.0,1155.4,1294.05,9,12,MEDIA LEMBRANCA MICROLIXO Serie 78,139.0,INDUSTRIA DE CARROCERIAS METALICAS LONDRINA,IBIPORA,PR,6,VIVALDO,9,NETBOOK,9,BARATO,12,Dismac,2010-04-07,2010-04-16,6.102,VD P/ OUTRO ESTADO,165,MEDIA LEMBRANCA,3,TI,1060.0,92.2944
2247,1,9,1078.56,1132.49,1268.39,5,12,IMAGEM ULTRA VENDAVAL Serie 27,139.0,INDUSTRIA DE CARROCERIAS METALICAS LONDRINA,IBIPORA,PR,6,VIVALDO,11,TV,24,LCD,20,Soni,2010-04-07,2010-04-18,6.102,VD P/ OUTRO ESTADO,102,IMAGEM ULTRA,4,SOM & IMAGEM,1078.56,103.86532799999999
